"headline","countries","cities"
"Toms River Encounters Severe Symptoms of Respiratory Syncytial Virus","United States","Toms River"
"The Spread of Malaria in Zanzibar has been Confirmed","Tanzania","Zanzibar"
"Malaria Outbreak Hits Zanzibar's Tourist Industry","Tanzania","Zanzibar"
"Tourist Perishes from Malaria in Arusha","Tanzania","Arusha"
"Herpes Symptoms Spread all over New Kingston","Jamaica","New Kingston"
"More people in Yokohama are infected with Norovirus every year","Japan","Yokohama"
"More people in Kitwe are infected with Respiratory Syncytial Virus every year","Zambia","Kitwe"
"Hepatitis D Keeps Spreading in Bismarck","United States","Bismarck"
"Varicella Outbreak in Minot","United States","Minot"
"Malaria has Arrived in Terrebonne","Canada","Terrebonne"
"Chikungunya Keeps Spreading in North Vancouver","Canada","North Vancouver"
"Authorities are Worried about the Spread of Chickenpox in Hemet","United States","Hemet"
"Rumors about Hepatitis C spreading in Darien have been refuted","Colombia","Darien"
"The Spread of West Nile Virus in Fairfield has been Confirmed","Australia","Fairfield"
"Princeton Encounters Severe Symptoms of Dengue","United States","Princeton"
"Norovirus Keeps Spreading in Copenhagen","Denmark","Copenhagen"
"Wuhan is infested with Varicella","China","Wuhan"
"Zika spreads to San Luis Potosi","Argentina","San Luis"
"Spike of Norovirus Cases in Canberra","Australia","Canberra"
"Zika Troubles come to Greater Noida","India","Greater Noida"
"Lower Hospitalization in Palm Springs after Hepatitis A Vaccine becomes Mandatory","United States","Palm Springs"
"Outbreak of Zika in Leesburg","United States","Leesburg"
"Sangre Grande Residents Recieve Gonorrhea vaccine","Trinidad and Tobago","Sangre Grande"
"Outbreak of Zika in Colombo","Brazil","Colombo"
"Will Rotavirus vaccine help Addis Ababa?","Ethiopia","Addis Ababa"
"Stony Brook University experts discuss Zika virus","United States","University"
"Lower Hospitalization in Janesville after Varicella Vaccine becomes Mandatory","United States","Janesville"
"Rabies Outbreak in Altus","United States","Altus"
"Miami resident suggests Zika precautions","United States","Miami"
"Zika Troubles come to Jaen","Philippines","Jaen"
"Hepatitis B Exposure in Edinburgh","United Kingdom","Edinburgh"
"Zika case reported in Reynosa","Mexico","Reynosa"
"Schools in Tulare Closed Due to Mumps Outbreak","United States","Tulare"
"More Zika patients reported in Chennai","India","Chennai"
"Hepatitis D Keeps Spreading in Danvers","United States","Danvers"
"Authorities a Miami","United States","Miami"
"Spike of Tuberculosis Cases in Albuquerque","United States","Albuquerque"
"More people in Cranford are infected with Hepatitis A every year","United States","Cranford"
"West Nile Virus Hits Monroe","United States","Monroe"
"Pneumonia Outbreak in Springville","United States","Springville"
"Zika arrives in San Onofre","Colombia","San Onofre"
"Lung Cancer Rates Increasing in Moscow","Russia","Moscow"
"Rumors about Rotavirus Spreading in Joliet have been Refuted","United States","Joliet"
"More Zika patients reported in Chanthaburi","Thailand","Chanthaburi"
"Lawrenceville is infested with Dengue","United States","Lawrenceville"
"Zika case reported in Limoeiro","Brazil","Limoeiro"
"Ibadan tests new cure for Malaria","Nigeria","Ibadan"
"Gonorrhea has Arrived in Avon Lake","France","Avon"
"Pneumonia has not Left Kinshasa","Democratic Republic of the Congo","Kinshasa"
"Respiratory Syncytial Virus Hits Henderson","United States","Henderson"
"More Zika patients reported in Lakeland","United States","Lakeland"
"Malaria Vaccine is now Required in Winona","United States","Winona"
"More Patients in Canton are Getting Diagnosed with Norovirus","United States","Canton"
"Ronkonkoma is infested with Chickenpox","United States","Ronkonkoma"
"Gonorrhea Exposure in Norwalk","United States","Norwalk"
"How to Avoid Rhinovirus in Medford","United States","Medford"
"Hepatitis D Symptoms Spread all over Evansville","United States","Evansville"
"New medicine wipes out Herpes in Bossier City","United States","Bossier City"
"Pneumonia Exposure in San Jose","Mali","San"
"Authorities are Worried about the Spread of Mad Cow Disease in Edinburgh","United Kingdom","Edinburgh"
"Duluth Patient in Critical Condition after Contracting Rotavirus","United States","Duluth"
"Norfolk tests new cure for Herpes","United States","Norfolk"
"More Zika patients reported in Botucatu","Brazil","Botucatu"
"Manassas Encounters Severe Symptoms of Measles","United States","Manassas"
"Fayetteville authorities confirmed the spread of HIV","United States","Fayetteville"
"Varicella Exposure in Cambridge","Canada","Cambridge"
"Hepatitis A Vaccine is now Required in Fukushima","Japan","Fukushima"
"Zika Outbreak in South Miami","United States","Miami"
"Hepatitis D Symptoms Spread all over North Bethesda","United States","North Bethesda"
"Panama City’s first Zika related death","United States","Panama City"
"West Nile Virus has Arrived in Dongguan","China","Dongguan"
"Zika arrives in Belmopan","Belize","Belmopan"
"Zika seminars in Yuma County","United States","Yuma"
"Rumors about Hepatitis E Spreading in Morristown have been Refuted","United States","Morristown"
"Mumps Outbreak in Joplin","United States","Joplin"
"Authorities are Worried about the Spread of Mumps in Corona","United States","Corona"
"Schools in Danville Closed Due to Tuberculosis Outbreak","United States","Danville"
"Marquette tests new cure for Hepatitis A","United States","Marquette"
"Norovirus Vaccine is now Required in Anaheim","United States","Anaheim"
"Zika Outbreak in Manaus","Brazil","Manaus"
"Zika spreads to Caucasia","Colombia","Caucasia"
"Case of Malaria Reported in Aurora","Canada","Aurora"
"Manchester Residents Recieve Influenza vaccine","United Kingdom","Manchester"
"Zika spreads to Kamphaeng Phet","Thailand","Kamphaeng Phet"
"Rotavirus Vaccine is now Required in Labasa","Fiji","Labasa"
"The Spread of Hepatitis E in Fargo has been Confirmed","United States","Fargo"
"Zika Outbreak in Mexicali","Mexico","Mexicali"
"West Nile Virus Keeps Spreading in Hauppauge","United States","Hauppauge"
"Bronchitis Keeps Spreading in Hayward","United States","Hayward"
"Zika spreads to Plant City","United States","Plant City"
"Chlamydia Exposure in Sanaa","Yemen","Sanaa"
"Zika Reported in North Miami Beach","United States","North Miami"
"More Patients in Kensington are Getting Diagnosed with Varicella","Australia","Kensington"
"Case of West Nile Virus Reported in Riverside","United States","Riverside"
"Northfield Encounters Severe Symptoms of Herpes","United States","Northfield"
"The Spread of Respiratory Syncytial Virus in Monroe has been Confirmed","United States","Monroe"
"How to Avoid Hepatitis B in Trenton","United States","Trenton"
"Zika Reported in Ilopango","El Salvador","Ilopango"
"Barstow Patient in Critical Condition after Contracting Herpes","United States","Barstow"
"Hepatitis D Exposure in Aswan","Egypt","Aswan"
"Will Gonorrhea vaccine help East Moline?","United States","East Moline"
"New medicine wipes out Influenza in Redlands","United States","Redlands"
"How to Avoid Contaminated Meat when Visiting Basel","Switzerland","Basel"
"More Zika patients reported in Kampong Speu","Cambodia","Kampong Speu"
"Alameda Residents Recieve Rabies vaccine","United States","Alameda"
"Mad Cow Disease Detected in Lyon","France","Lyon"
"Memphis Encounters Severe Symptoms of Swine Flu","United States","Memphis"
"Zika Troubles come to Delray Beach","United States","Delray Beach"
"How to Avoid Chikungunya in Hampton","United Kingdom","Hampton"
"Case of Norovirus Reported in Stratford","Canada","Stratford"
"How to Avoid Hepatitis E in South Bend","United States","South Bend"
"Hepatitis C Outbreak in Bethlehem","Palestinian Territory","Bethlehem"
"Davenport is infested with Dengue","United States","Davenport"
"Rumors about Swine Flu spreading in Suzhou have been refuted","China","Suzhou"
"Malaria Vaccine is now Required in Elyria","United States","Elyria"
"Case of Swine Flu Reported in Tbilisi","Georgia","Tbilisi"
"Influenza Keeps Spreading in Suffolk","United States","Suffolk"
"More people in Allentown are infected with Chlamydia every year","United States","Allentown"
"Mad Cow Disease re-emerges in Bedford","United Kingdom","Bedford"
"Authorities are Worried about the Spread of Hepatitis B in Yiwu","China","Yiwu"
"Zika Outbreak in Yurimaguas","Peru","Yurimaguas"
"Dengue Outbreak in Easton","United States","Easton"
"Varicella has Arrived in Milton","Canada","Milton"
"New medicine wipes out Meningitis in Sevilla","Colombia","Sevilla"
"Authorities are Worried about the Spread of Varicella in Clovis","United States","Clovis"
"More Zika patients reported in Fort Worth","United States","Fort Worth"
"Zika symptoms spotted in Boynton Beach","United States","Boynton Beach"
"Outbreak of Zika in Portoviejo","Ecuador","Portoviejo"
"Influenza Exposure in Muscat","Oman","Muscat"
"Rumors about Rabies spreading in Jerusalem have been refuted","Israel","Jerusalem"
"More Zika patients reported in Indang","Philippines","Indang"
"Suva authorities confirmed the spread of Rotavirus","Fiji","Suva"
"More Zika patients reported in Bella Vista","Argentina","Bella Vista"
"Zika Outbreak in Wichita Falls","United States","Wichita"
